,RND,ADMIN,MKT,STATE,PROFIT_pred
0,76253.86,113867.3,298664.47,California,120625.445
1,100671.96,91790.61,249744.55,California,145190.675
2,114523.61,122616.84,261776.23,New York,145190.675
3,153441.51,101145.55,407934.54,,182901.99
4,144372.41,,383199.62,New York,182901.99
5,119943.24,156547.42,,Florida,145190.675
6,75328.87,144135.98,134050.07,Florida,105008.31
7,86419.7,153514.11,0.0,,120625.445
8,73994.56,,303319.26,Florida,105008.31
9,,96189.63,148001.11,California,105008.31
10,93863.75,127320.38,249839.44,Florida,145190.675
11,94657.16,145077.58,282574.31,New York,145190.675
12,61994.48,115641.28,91131.24,Florida,96778.92
13,55493.95,103057.49,214634.81,Florida,96778.92
14,63408.86,129219.61,46085.25,California,96778.92
